Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Purple Barrel","The Housekeeping Boulder > Housekeeping > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107573744/purple-barrel,3.5,-1,Boulder,V8,1,,37.74049,-119.58002
"G23 Arete","Campground Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117669491/g23-arete,3.5,-1,Boulder,V6,1,,37.869,-119.36571
"Solar Power","Sunrise Boulder > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/113552995/solar-power,3.5,-1,Boulder,V6,1,14,37.82769,-119.47205
Torque,"Torque Boulder > Housekeeping > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107598431/torque,4.0,-1,Boulder,V7,1,18,37.73924,-119.58003
Hammerhead,"6 degree boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117100209/hammerhead,3.6,-1,Boulder,V5,1,17,37.7428,-119.60382
"Finger Crack","Finger Crack Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106049459/finger-crack,3.2,-1,"Trad, Boulder","5.10b V1",1,17,37.74247,-119.60547
Conquistadors,"Conquistadors Boulder > Olmsted Canyon Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119438002/conquistadors,4.0,-1,Boulder,"V8 PG13",1,25,37.81403,-119.48983
"Spanish Fly Stand","Spanish Fly Boulder > Sentinel Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120588537/spanish-fly-stand,4.0,-1,Boulder,V4,1,25,37.73155,-119.59899
"Crumbs Highball","Crumbs > HWY 140 > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120066902/crumbs-highball,3.8,-1,Boulder,"V1 R",1,30,37.7416,-119.60151
"So Good","The King Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106663092/so-good,3.0,-1,Boulder,V5,1,15,37.71818,-119.62817
Dominator,"Wine Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114086679/dominator,4.0,-1,Boulder,V12,1,15,37.74219,-119.60419
"Fists of Glory","Torque Spanner Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/116207634/fists-of-glory,2.8,-1,Boulder,V0,1,8,37.74315,-119.6032
"Double Dyno Sit","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/121057972/double-dyno-sit,3.5,-1,Boulder,V4,1,10,37.85273,-119.44141
"Curry Hurries","Crump Tower > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/116116780/curry-hurries,4.0,-1,Boulder,"V1+ PG13",1,25,37.73642,-119.57502
"The Lookout Tower","The Lookout Tower > Ahwahnee Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113465196/the-lookout-tower,4.0,-1,Boulder,V4,1,25,37.74876,-119.57562
"Booze Bottle Sit","Booze Bottle Boulder > Ridge Top Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119126082/booze-bottle-sit,4.0,-1,Boulder,V8,1,,37.83858,-119.47288
"King Air","LeConte Boulder > Housekeeping > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121056540/king-air,4.0,-1,Boulder,"V10 R",1,,37.73969,-119.57922
Aquanater,"Ag. Roadside Attraction > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/123464983/aquanater,4.0,-1,Boulder,V4,1,20,37.70169,-119.72236
"Sasquatch Crack","LeConte Boulder > Housekeeping > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/123330127/sasquatch-crack,4.0,-1,Boulder,V11,1,,37.73969,-119.57922
"Beige Suede Shoes","Blue Suede Shoes Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117923588/beige-suede-shoes,3.7,-1,Boulder,V6,1,,37.7431,-119.60304
"The Diamond","The Diamond Boulder > Candyland Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107863904/the-diamond,3.7,-1,Boulder,V8,1,,37.72134,-119.61391
"Ver's Werner","Blue Suede Shoes Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106783120/vers-werner,2.7,-1,Boulder,V2,1,15,37.7431,-119.60304
"Heart of Darkness","Heart of Darkness > Intersection Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/118247849/heart-of-darkness,3.8,-1,Boulder,"V9 PG13",1,15,37.72131,-119.69772
"Yabo Roof","Yabo Area [[CLOSED]] > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114296835/yabo-roof,4.0,-1,Boulder,V12,1,15,37.727,-119.62873
"Honor Among Thieves","Honor Among Thieves Area > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/118309963/honor-among-thieves,4.0,-1,Boulder,V9,1,,37.74285,-119.60399
"Belly of the Beast","May Lake - Battle Tanks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/120200034/belly-of-the-beast,4.0,-1,Boulder,V11,1,,37.85149,-119.48827
"The Shadow Warrior","The Diamond Boulder > Candyland Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113075917/the-shadow-warrior,4.0,-1,Boulder,V12,1,,37.72134,-119.61391
"Heavy Direct","May Lake - Battle Tanks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/118085525/heavy-direct,4.0,-1,Boulder,V12,1,15,37.85149,-119.48827
"J.B.'s Corner","J.B.'s Boulder > Puppy Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117539774/jbs-corner,3.8,-1,Boulder,"V4 PG13",1,20,37.8742,-119.3456
"PBR Prow Sit","May Lake - Battle Tanks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119484698/pbr-prow-sit,4.0,-1,Boulder,"V9 PG13",1,25,37.85149,-119.48827
Thunderbird,"Mantel Boulder > Puppy Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/111382504/thunderbird,4.0,-1,Boulder,V11,1,30,37.8742,-119.3455
"Past and Present","Past and Present Boulder > Horse Trail Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121494854/past-and-present,3.8,-1,Boulder,V3,1,,37.74462,-119.56753
"Imodium Podium","Crump Tower > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/116165212/imodium-podium,4.0,-1,Boulder,"V3+ R",1,25,37.73642,-119.57502
"Men From Mars","Planets Boulder > Ahwahnee Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/122351070/men-from-mars,4.0,-1,Boulder,V2,1,20,37.74757,-119.57487
"PBR Prow Stand","May Lake - Battle Tanks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119358085/pbr-prow-stand,4.0,-1,Boulder,"V6 PG13",1,,37.85149,-119.48827
"Rudolph was Adopted","MSG Boulder > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/116572759/rudolph-was-adopted,4.0,-1,Boulder,V6,1,18,37.72376,-119.64498
"Manatee Beach","Olmsted Offwidth Boulder > Olmsted Canyon Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119445066/manatee-beach,4.0,-1,Boulder,V5,1,10,37.813,-119.48982
"Big Flapper","Northside Road Trail Bouldering > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117632965/big-flapper,4.0,-1,Boulder,V0,1,8,37.72047,-119.65561
"Magic Carpet","Magic Carpet Boulder > Mist Trail Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120675232/magic-carpet,4.0,-1,Boulder,V3,1,15,37.7253,-119.55277
"Rockaway Reach","Northside Road Trail Bouldering > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117633009/rockaway-reach,4.0,-1,Boulder,V0+,1,6,37.72047,-119.65561
"One Try Wall Left","One Try Wall > Puppy Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/123023713/one-try-wall-left,4.0,-1,Boulder,V2,1,12,37.8761,-119.34551
"Unnamed V1","2nd Boulder > Kitty Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/123023783/unnamed-v1,4.0,-1,Boulder,V1,1,12,37.87254,-119.347
"Bivy Face","Finger Crack Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/123376264/bivy-face,4.0,-1,Boulder,V4,1,12,37.74247,-119.60547
"End of the Day Problem","Big Columbia Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120333300/end-of-the-day-problem,3.4,-1,Boulder,V5+,1,10,37.74172,-119.60355
"Eliminator Traverse","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106668315/eliminator-traverse,3.6,-1,Boulder,V7,1,,37.85273,-119.44141
"Generation Direct","Generation Boulder > The Wave Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/116241653/generation-direct,3.6,-1,Boulder,"V7 PG13",1,30,37.71959,-119.65698
"Ian's Prow","4th Boulder > Drug Dome Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119056419/ians-prow,3.5,-1,Boulder,V6,1,,37.86474,-119.42289
"Out of your league","Big Lebowski Boulder > Big Lebowski Area > Tenaya Lake Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/115355211/out-of-your-league,3.7,-1,Boulder,V9,1,,37.83345,-119.44915
Atlas,"Atlas Boulder > Ahwahnee Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108878754/atlas,3.7,-1,Boulder,V5,1,6,37.74769,-119.57419
"Olde Glory","Olde English Boulder > Drug Dome Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119357804/olde-glory,3.8,-1,Boulder,V8,1,,37.86483,-119.4229
"Booze Bottle","Booze Bottle Boulder > Ridge Top Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119126045/booze-bottle,3.8,-1,Boulder,V6,1,,37.83858,-119.47288
Pride,"Pride Boulder > The Crystals > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108260211/pride,3.8,-1,Boulder,V8,1,15,37.73896,-119.60678
"Unnamed Traverse","The Glass Pyramid > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120096198/unnamed-traverse,2.8,-1,Boulder,V2,1,13,37.7426,-119.60284
"Excalibur Right","Excalibur Boulder > Puppy Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107694829/excalibur-right,2.7,-1,Boulder,V3,1,12,37.8744,-119.3456
"Kauk Problem Sit","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/121057861/kauk-problem-sit,3.4,-1,Boulder,V6,1,10,37.85273,-119.44141
"Problem B","Cracked Boulder > Puppy Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107694680/problem-b,2.4,-1,Boulder,V0,1,13,37.87423,-119.34576
Squirrel,"Lower Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/118861512/squirrel,3.6,-1,Boulder,V7,1,,37.7216,-119.64323
"Mr. Pink Eyes","Middle Little Boulder > Sentinel Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121567615/mr-pink-eyes,3.3,-1,Boulder,V0,1,,37.73212,-119.60059
"Zorro Arete","Zorro Boulder > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108083346/zorro-arete,2.7,-1,Boulder,V5,1,13,37.73744,-119.57605
"Machine World Extension","Puppy Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117715679/machine-world-extension,3.7,-1,Boulder,"5.12a/b V6",1,,37.87456,-119.34524
"Olmsted OW","Olmsted Offwidth Boulder > Olmsted Canyon Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/109465730/olmsted-ow,3.7,-1,"TR, Boulder","5.12a/b V4",1,20,37.813,-119.48982
"Cube Face","The Cube > Tenaya East Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/111384450/cube-face,3.1,-1,Boulder,V3,1,15,37.84011,-119.45082
"Steal Your Face","Wood Yard > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111664916/steal-your-face,3.7,-1,Boulder,V4,1,16,37.72531,-119.63965
"Walk, Don't Run (aka The Bouldering Arch)","Ao. This and That Cliff > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107982427/walk-dont-run-aka-the-bouldering-arch,3.7,-1,Boulder,V0,1,35,37.72521,-119.7068
"James Memorial Problem","James Memorial/Millionth Try Boulder > Candyland Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/110302932/james-memorial-problem,3.7,-1,Boulder,V3,1,18,37.72023,-119.61276
"Bachar Mantel","Mantel Boulder > Puppy Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117300105/bachar-mantel,3.5,-1,Boulder,V3,1,,37.8742,-119.3455
"The Wave","The Wave Boulder > The Wave Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/119129296/the-wave,3.3,-1,Boulder,V3,1,,37.71959,-119.65803
"Little ranger","Little Ranger > HWY 140 > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120784611/little-ranger,3.5,-1,Boulder,"V1 R",1,20,37.72112,-119.71576
"The Abtrusion","B-1 Boulder > Sentinel Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108106805/the-abtrusion,3.3,-1,Boulder,V4,1,17,37.73235,-119.60032
"Woodward Arete","King Cobra Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113075598/woodward-arete,3.4,-1,Boulder,V4,1,,37.74287,-119.60338
"Silent Spotter","Silent Spotter Boulder > Ahwahnee Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/116837191/silent-spotter,3.1,-1,Boulder,V4+,1,10,37.74758,-119.57413
"Wine Traverse","Wine Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114086692/wine-traverse,3.2,-1,Boulder,V0-,1,30,37.74219,-119.60419
"Pumpmaster Traverse","Green Meanies > The Gunks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107459904/pumpmaster-traverse,3.0,-1,Boulder,V2,1,50,37.88048,-119.40061
"Unnamed V3","Kevin's Traverse Boulder > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108878741/unnamed-v3,2.5,-1,Boulder,V3,1,8,37.73713,-119.57551
"Golden Rastafarian Sit Start","Golden Rastafarian > Kitty Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/109646256/golden-rastafarian-sit-start,3.2,-1,Boulder,V6,1,15,37.87275,-119.34695
"Pansy Tank","May Lake - Battle Tanks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/118565104/pansy-tank,3.5,-1,Boulder,V10,1,,37.85149,-119.48827
"Golden Face","Golden Face Boulder > Kitty Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119489909/golden-face,3.5,-1,Boulder,V4,1,15,37.87259,-119.34707
"The Robbins Problem","Big Columbia Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113075700/the-robbins-problem,3.4,-1,Boulder,V3,1,,37.74172,-119.60355
Scoopy,"Teva Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121314393/scoopy,3.2,-1,Boulder,V0,1,14,37.71815,-119.62836
"Millis Mantle","Wine Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114086672/millis-mantle,2.5,-1,Boulder,V1-2,1,12,37.74219,-119.60419
"Splitter Bluebird","Splitter Bluebird Boulder > Ahwahnee Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113469128/splitter-bluebird,3.4,-1,Boulder,V1+,1,25,37.74846,-119.57613
"Kauk Slab","Kauk Slab > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107342819/kauk-slab,3.4,-1,Boulder,V7-8,1,20,37.74303,-119.6032
"The Font Problem","The Cove Area > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113075523/the-font-problem,3.4,-1,Boulder,V6,1,,37.74307,-119.60276
"Thug Monkey","Campground Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119255840/thug-monkey,3.3,-1,Boulder,V7,1,,37.869,-119.36571
Yeah!,"Yeah! Boulder > Cathedral Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121314368/yeah,3.3,-1,Boulder,V0,1,12,37.71824,-119.62817
Unnamed,"Reach for a Peach Boulder > Tenaya East Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/118598462/unnamed,3.3,-1,Boulder,V4,1,,37.83991,-119.45074
"The Moffat Start","Big Columbia Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113075666/the-moffat-start,3.5,-1,Boulder,V10,1,,37.74172,-119.60355
"Bates Problem","Big Columbia Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108090629/bates-problem,3.1,-1,Boulder,V4,1,20,37.74172,-119.60355
"Fear and Loathing In Tuolumne","Pywiack Boulder > Pywiack Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/118565123/fear-and-loathing-in-tuolumne,3.1,-1,Boulder,V9-,1,,37.84563,-119.44564
"The Mechanic","Joe's Garage Boulder > Curry Village > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106960566/the-mechanic,2.8,-1,Boulder,V6,1,,37.73663,-119.57219
"Stolen lemonade","Cocaine Corner Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121039541/stolen-lemonade,3.5,-1,Boulder,"V3 PG13",1,15,37.74232,-119.60431
"Solar Power Low","Sunrise Boulder > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/120847755/solar-power-low,3.5,-1,Boulder,V9,1,15,37.82769,-119.47205
"The Seam","Medlicott Boulder > Medlicott Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/123207406/the-seam,3.5,-1,Boulder,V8,1,12,37.86288,-119.4294
"Good Vibrations","Atlantis > Intersection Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/118206465/good-vibrations,3.5,-1,Boulder,V10-,1,15,37.71925,-119.685
"Westbay Lieback","Swan Slab Proper > Swan Slab Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114086524/westbay-lieback,3.5,-1,Boulder,V3,1,15,37.74486,-119.59996
"Solo Endeavors","Tank Boulder > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119236962/solo-endeavors,3.5,-1,Boulder,V9,1,,37.8505,-119.48574
"Cookie Monster","Cookie Monster Boulder > Garden Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121952641/cookie-monster,3.5,-1,Boulder,V7,1,,37.73543,-119.60942
"Volleyball Arete","Cedar Eater Boulder > Mist Trail Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120675710/volleyball-arete,3.5,-1,Boulder,V3,1,15,37.72621,-119.5531
"High Face","Swan Slab Proper > Swan Slab Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114086277/high-face,3.5,-1,Boulder,"V3 R",1,20,37.74486,-119.59996
"Heart Attack","Athletes Die Young > Housekeeping > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107585368/heart-attack,3.5,-1,Boulder,"V6- PG13",1,20,37.7393,-119.5793
"The Cube Crack","The Cube > Tenaya East Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107809594/the-cube-crack,2.9,-1,Boulder,V0,1,,37.84011,-119.45082
"Hand Traverse","Sloth Boulder > Swan Slab Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106950661/hand-traverse,2.9,-1,Boulder,V0+,1,,37.74462,-119.60057
"Problem A","Cracked Boulder > Puppy Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107694673/problem-a,2.9,-1,Boulder,V3,1,15,37.87423,-119.34576
"Eliminator Right","Eliminator Boulder > The Knobs > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119363096/eliminator-right,3.1,-1,Boulder,V4,1,10,37.85273,-119.44141
Spaceballs,"Spaceballs Wall > Raisin Creek > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119057275/spaceballs,3.1,-1,Boulder,V4,1,,37.82866,-119.47559
"Amazon Face","LeConte Boulder > Housekeeping > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121437439/amazon-face,3.3,-1,Boulder,"V4 R",1,,37.73969,-119.57922
"The Roof","Olmsted Offwidth Boulder > Olmsted Canyon Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/117533657/the-roof,3.1,-1,Boulder,V4+,1,15,37.813,-119.48982
"Leap of Faith","6th Boulder > Drug Dome Trees > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119056850/leap-of-faith,3.1,-1,Boulder,V3,1,,37.86576,-119.42035
Conan,"Athletes Die Young > Housekeeping > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120099130/conan,3.3,-1,Boulder,V9,1,,37.7393,-119.5793
"Galaxy 5000","Mantel Boulder > Puppy Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/113617179/galaxy-5000,3.3,-1,Boulder,V10-,1,10,37.8742,-119.3455
"Bumba BareFoot","Cedar Eater Boulder > Mist Trail Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/120733857/bumba-barefoot,3.3,-1,Boulder,V0+,1,15,37.72621,-119.5531
"Tank Crack","Tank Boulder > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119236870/tank-crack,3.3,-1,Boulder,V7,1,,37.8505,-119.48574
"Prince of Thieves","Cave Boulder > Pennyroyal Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119398357/prince-of-thieves,3.3,-1,Boulder,V6,1,,37.84005,-119.4441
"Reach for a Peach Low Start","Reach for a Peach Boulder > Tenaya East Boulders > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/109217563/reach-for-a-peach-low-start,3.3,-1,Boulder,V8,1,,37.83991,-119.45074
"The English Have Arrived","Footbridge Area > Mist Trail Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108415262/the-english-have-arrived,3.3,-1,Boulder,V1+,1,15,37.72611,-119.55163
"Double Decker","The Medicine Man > Indian Creek Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108101159/double-decker,3.3,-1,Boulder,V2,1,20,37.75047,-119.58369
"Wall To Wall Carpet","Bridalveil Boulder > Bridalveil Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108898667/wall-to-wall-carpet,3.2,-1,Boulder,V9,1,15,37.71552,-119.65022
